method,candidate_pool_size,n_true_nodes,mrr,precision@5,recall@5,hit@5,ndcg@5,precision@10,recall@10,hit@10,ndcg@10
quantum_inspired,121.11111111111111,1.1111111111111112,0.9157729285017077,0.19869281045751636,0.907843137254902,0.9150326797385621,0.9098344358686149,0.09934640522875818,0.907843137254902,0.9150326797385621,0.9098344358686149
classical_diffusion,121.11111111111111,1.1111111111111112,0.9157348889969211,0.19869281045751636,0.907843137254902,0.9150326797385621,0.9098344358686149,0.09934640522875818,0.907843137254902,0.9150326797385621,0.9098344358686149
pagerank,121.11111111111111,1.1111111111111112,0.9028560723861668,0.19477124183006536,0.8915032679738563,0.9019607843137255,0.894234090723291,0.09738562091503268,0.8915032679738563,0.9019607843137255,0.894234090723291
degree,121.11111111111111,1.1111111111111112,0.7978917689263395,0.16601307189542486,0.7833333333333333,0.803921568627451,0.7811044517046064,0.08366013071895426,0.7898692810457516,0.8104575163398693,0.7832831009420792
