window_id,method,n_true_nodes,candidate_pool_size,mrr,precision@5,recall@5,hit@5,ndcg@5,precision@10,recall@10,hit@10,ndcg@10
129,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
129,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
130,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
130,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
130,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
130,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
131,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
131,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
131,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
131,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
132,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
132,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
132,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
132,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
133,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
133,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
133,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
133,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
134,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
134,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
134,classical_diffusion,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
134,quantum_inspired,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
135,degree,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
135,pagerank,1,121,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0
